estacion,duracion_min,Tr_anios,I_oficial_mmh,I_plataforma_mmh
MOGOTES_-_AUT_24025090,10,2,105.11,112.8
MOGOTES_-_AUT_24025090,20,2,71.79,94.5
MOGOTES_-_AUT_24025090,30,2,57.44,82.0
MOGOTES_-_AUT_24025090,60,2,39.23,53.1
MOGOTES_-_AUT_24025090,120,2,26.8,30.6
MOGOTES_-_AUT_24025090,180,2,21.44,21.2
MOGOTES_-_AUT_24025090,360,2,14.64,11.4
MOGOTES_-_AUT_24025090,10,5,128.59,133.8
MOGOTES_-_AUT_24025090,20,5,87.83,109.5
MOGOTES_-_AUT_24025090,30,5,70.27,90.6
MOGOTES_-_AUT_24025090,60,5,48.0,60.6
MOGOTES_-_AUT_24025090,120,5,32.78,35.4
MOGOTES_-_AUT_24025090,180,5,26.23,25.4
MOGOTES_-_AUT_24025090,360,5,17.92,14.1
MOGOTES_-_AUT_24025090,10,10,149.77,147.0
MOGOTES_-_AUT_24025090,20,10,102.3,119.7
MOGOTES_-_AUT_24025090,30,10,81.85,94.6
MOGOTES_-_AUT_24025090,60,10,55.9,65.6
MOGOTES_-_AUT_24025090,120,10,38.18,38.6
MOGOTES_-_AUT_24025090,180,10,30.55,28.2
MOGOTES_-_AUT_24025090,360,10,20.87,15.9
MOGOTES_-_AUT_24025090,10,25,183.22,164.4
MOGOTES_-_AUT_24025090,20,25,125.14,132.3
MOGOTES_-_AUT_24025090,30,25,100.13,98.2
MOGOTES_-_AUT_24025090,60,25,68.39,71.8
MOGOTES_-_AUT_24025090,120,25,46.71,42.7
MOGOTES_-_AUT_24025090,180,25,37.37,31.7
MOGOTES_-_AUT_24025090,360,25,25.53,18.1
MOGOTES_-_AUT_24025090,10,50,213.4,177.6
MOGOTES_-_AUT_24025090,20,50,145.76,141.6
MOGOTES_-_AUT_24025090,30,50,116.62,100.2
MOGOTES_-_AUT_24025090,60,50,79.65,76.5
MOGOTES_-_AUT_24025090,120,50,54.41,45.7
MOGOTES_-_AUT_24025090,180,50,43.53,34.3
MOGOTES_-_AUT_24025090,360,50,29.73,19.8
MOGOTES_-_AUT_24025090,10,100,248.55,190.2
MOGOTES_-_AUT_24025090,20,100,169.77,150.9
MOGOTES_-_AUT_24025090,30,100,135.83,101.6
MOGOTES_-_AUT_24025090,60,100,92.78,81.1
MOGOTES_-_AUT_24025090,120,100,63.37,48.7
MOGOTES_-_AUT_24025090,180,100,50.7,36.9
MOGOTES_-_AUT_24025090,360,100,34.63,21.4
CAJAMARCA_-_AUT_21215190,10,2,71.88,60.6
CAJAMARCA_-_AUT_21215190,20,2,46.13,41.7
CAJAMARCA_-_AUT_21215190,30,2,35.58,32.0
CAJAMARCA_-_AUT_21215190,60,2,22.84,21.7
CAJAMARCA_-_AUT_21215190,120,2,14.65,13.3
CAJAMARCA_-_AUT_21215190,180,2,11.3,10.1
CAJAMARCA_-_AUT_21215190,360,2,7.25,5.7
CAJAMARCA_-_AUT_21215190,10,5,89.56,82.8
CAJAMARCA_-_AUT_21215190,20,5,57.47,56.4
CAJAMARCA_-_AUT_21215190,30,5,44.34,44.0
CAJAMARCA_-_AUT_21215190,60,5,28.45,28.6
CAJAMARCA_-_AUT_21215190,120,5,18.26,17.6
CAJAMARCA_-_AUT_21215190,180,5,14.08,12.7
CAJAMARCA_-_AUT_21215190,360,5,9.04,6.8
CAJAMARCA_-_AUT_21215190,10,10,105.77,97.2
CAJAMARCA_-_AUT_21215190,20,10,67.88,65.7
CAJAMARCA_-_AUT_21215190,30,10,52.36,52.0
CAJAMARCA_-_AUT_21215190,60,10,33.6,33.2
