estacion,duracion_min,Tr_anios,I_oficial_mmh,I_plataforma_mmh
SOCHA_-_AUT_24035360,10,2,56.05,54.6
SOCHA_-_AUT_24035360,10,5,78.67,85.8
SOCHA_-_AUT_24035360,10,10,101.67,112.8
SOCHA_-_AUT_24035360,10,25,142.7,155.4
SOCHA_-_AUT_24035360,10,50,184.41,193.8
SOCHA_-_AUT_24035360,10,100,238.33,240.0
SOCHA_-_AUT_24035360,20,2,40.85,39.3
SOCHA_-_AUT_24035360,20,5,57.34,58.5
SOCHA_-_AUT_24035360,20,10,74.1,76.2
SOCHA_-_AUT_24035360,20,25,104.01,106.8
SOCHA_-_AUT_24035360,20,50,134.41,136.5
SOCHA_-_AUT_24035360,20,100,173.71,174.0
SOCHA_-_AUT_24035360,30,2,33.51,32.2
SOCHA_-_AUT_24035360,30,5,47.03,45.8
SOCHA_-_AUT_24035360,30,10,60.78,57.2
SOCHA_-_AUT_24035360,30,25,85.31,74.4
SOCHA_-_AUT_24035360,30,50,110.25,89.8
SOCHA_-_AUT_24035360,30,100,142.49,107.6
TIBAITATA_-_AUT_21206990,10,2,75.39,63.0
TIBAITATA_-_AUT_21206990,10,5,94.8,103.8
TIBAITATA_-_AUT_21206990,10,10,112.74,130.2
TIBAITATA_-_AUT_21206990,10,25,141.76,164.4
TIBAITATA_-_AUT_21206990,10,50,168.59,189.6
TIBAITATA_-_AUT_21206990,10,100,200.48,214.8
TIBAITATA_-_AUT_21206990,20,2,45.77,43.5
TIBAITATA_-_AUT_21206990,20,5,57.55,68.4
TIBAITATA_-_AUT_21206990,20,10,68.44,84.9
TIBAITATA_-_AUT_21206990,20,25,86.06,105.6
TIBAITATA_-_AUT_21206990,20,50,102.35,120.9
TIBAITATA_-_AUT_21206990,20,100,121.71,136.2
TIBAITATA_-_AUT_21206990,30,2,34.18,33.0
TIBAITATA_-_AUT_21206990,30,5,42.98,51.4
TIBAITATA_-_AUT_21206990,30,10,51.12,63.8
TIBAITATA_-_AUT_21206990,30,25,64.27,79.2
TIBAITATA_-_AUT_21206990,30,50,76.44,90.8
TIBAITATA_-_AUT_21206990,30,100,90.9,102.2
TIBAITATA_-_AUT_21206990,60,2,20.75,19.0
TIBAITATA_-_AUT_21206990,60,5,26.09,28.6
TIBAITATA_-_AUT_21206990,60,10,31.03,34.9
TIBAITATA_-_AUT_21206990,60,25,39.02,43.0
TIBAITATA_-_AUT_21206990,60,50,46.4,49.0
TIBAITATA_-_AUT_21206990,60,100,55.18,54.9
TIBAITATA_-_AUT_21206990,120,2,12.6,10.7
TIBAITATA_-_AUT_21206990,120,5,15.84,16.1
TIBAITATA_-_AUT_21206990,120,10,18.84,19.7
TIBAITATA_-_AUT_21206990,120,25,23.69,24.2
TIBAITATA_-_AUT_21206990,120,50,28.17,27.6
TIBAITATA_-_AUT_21206990,120,100,33.5,30.9
TIBAITATA_-_AUT_21206990,180,2,9.41,7.9
TIBAITATA_-_AUT_21206990,180,5,11.83,11.9
TIBAITATA_-_AUT_21206990,180,10,14.07,14.5
TIBAITATA_-_AUT_21206990,180,25,17.69,17.9
TIBAITATA_-_AUT_21206990,180,50,21.04,20.4
TIBAITATA_-_AUT_21206990,180,100,25.02,22.8
TIBAITATA_-_AUT_21206990,360,2,5.71,4.4
TIBAITATA_-_AUT_21206990,360,5,7.18,6.8
TIBAITATA_-_AUT_21206990,360,10,8.54,8.3
TIBAITATA_-_AUT_21206990,360,25,10.74,10.3
TIBAITATA_-_AUT_21206990,360,50,12.77,11.8
TIBAITATA_-_AUT_21206990,360,100,15.19,13.2
SANTA_ROSITA_21209920,10,2,56.63,46.8
SANTA_ROSITA_21209920,10,5,72.53,84.6
SANTA_ROSITA_21209920,10,10,87.46,114.0
SANTA_ROSITA_21209920,10,25,112.0,156.6
SANTA_ROSITA_21209920,10,50,135.06,191.4
SANTA_ROSITA_21209920,10,100,162.85,228.6
SANTA_ROSITA_21209920,20,2,35.84,34.5
SANTA_ROSITA_21209920,20,5,45.9,54.6
SANTA_ROSITA_21209920,20,10,55.35,67.8
SANTA_ROSITA_21209920,20,25,70.89,84.6
SANTA_ROSITA_21209920,20,50,85.47,96.9
SANTA_ROSITA_21209920,20,100,103.07,109.5
SANTA_ROSITA_21209920,30,2,27.43,27.6
SANTA_ROSITA_21209920,30,5,35.12,43.6
SANTA_ROSITA_21209920,30,10,42.35,54.2
SANTA_ROSITA_21209920,30,25,54.24,67.6
SANTA_ROSITA_21209920,30,50,65.41,77.4
SANTA_ROSITA_21209920,30,100,78.87,87.4
SANTA_ROSITA_21209920,60,2,17.36,17.1
SANTA_ROSITA_21209920,60,5,22.23,26.5
SANTA_ROSITA_21209920,60,10,26.8,32.7
SANTA_ROSITA_21209920,60,25,34.33,40.6
SANTA_ROSITA_21209920,60,50,41.39,46.4
SANTA_ROSITA_21209920,60,100,49.91,52.2
SANTA_ROSITA_21209920,120,2,10.99,9.9
SANTA_ROSITA_21209920,120,5,14.07,15.6
SANTA_ROSITA_21209920,120,10,16.96,19.4
SANTA_ROSITA_21209920,120,25,21.73,24.1
SANTA_ROSITA_21209920,120,50,26.2,27.6
SANTA_ROSITA_21209920,120,100,31.59,31.1
SANTA_ROSITA_21209920,180,2,8.41,7.1
SANTA_ROSITA_21209920,180,5,10.77,11.1
SANTA_ROSITA_21209920,180,10,12.98,13.8
SANTA_ROSITA_21209920,180,25,16.62,17.1
SANTA_ROSITA_21209920,180,50,20.05,19.6
SANTA_ROSITA_21209920,180,100,24.17,22.1
SANTA_ROSITA_21209920,360,2,5.32,3.9
SANTA_ROSITA_21209920,360,5,6.81,6.0
SANTA_ROSITA_21209920,360,10,8.22,7.4
SANTA_ROSITA_21209920,360,25,10.52,9.2
SANTA_ROSITA_21209920,360,50,12.69,10.5
SANTA_ROSITA_21209920,360,100,15.3,11.9
PARAMO_ALMORZADERO__-_AU_24035390,60,2,19.74,12.0
PARAMO_ALMORZADERO__-_AU_24035390,60,5,29.81,19.5
PARAMO_ALMORZADERO__-_AU_24035390,60,10,40.72,29.4
PARAMO_ALMORZADERO__-_AU_24035390,60,25,61.5,52.3
PARAMO_ALMORZADERO__-_AU_24035390,60,50,84.01,82.7
PARAMO_ALMORZADERO__-_AU_24035390,60,100,114.76,133.0
PARAMO_ALMORZADERO__-_AU_24035390,120,2,16.48,8.4
PARAMO_ALMORZADERO__-_AU_24035390,120,5,24.89,13.6
PARAMO_ALMORZADERO__-_AU_24035390,120,10,34.0,19.9
PARAMO_ALMORZADERO__-_AU_24035390,120,25,51.36,33.9
PARAMO_ALMORZADERO__-_AU_24035390,120,50,70.16,51.5
PARAMO_ALMORZADERO__-_AU_24035390,120,100,95.83,79.3
PARAMO_ALMORZADERO__-_AU_24035390,180,2,14.83,6.9
PARAMO_ALMORZADERO__-_AU_24035390,180,5,22.4,10.7
PARAMO_ALMORZADERO__-_AU_24035390,180,10,30.6,15.3
PARAMO_ALMORZADERO__-_AU_24035390,180,25,46.22,25.0
PARAMO_ALMORZADERO__-_AU_24035390,180,50,63.14,36.6
PARAMO_ALMORZADERO__-_AU_24035390,180,100,86.25,54.2
PARAMO_ALMORZADERO__-_AU_24035390,360,2,12.39,4.8
PARAMO_ALMORZADERO__-_AU_24035390,360,5,18.71,7.1
PARAMO_ALMORZADERO__-_AU_24035390,360,10,25.55,9.7
PARAMO_ALMORZADERO__-_AU_24035390,360,25,38.6,14.6
PARAMO_ALMORZADERO__-_AU_24035390,360,50,52.72,20.2
PARAMO_ALMORZADERO__-_AU_24035390,360,100,72.02,28.0
PAQUILO_21195170,10,2,60.09,51.0
PAQUILO_21195170,10,5,74.19,64.2
PAQUILO_21195170,10,10,87.01,72.6
PAQUILO_21195170,10,25,107.43,82.8
PAQUILO_21195170,10,50,125.99,90.6
PAQUILO_21195170,10,100,147.77,98.4
PAQUILO_21195170,20,2,38.56,40.2
PAQUILO_21195170,20,5,47.61,49.8
PAQUILO_21195170,20,10,55.84,56.1
PAQUILO_21195170,20,25,68.94,64.2
PAQUILO_21195170,20,50,80.85,70.2
PAQUILO_21195170,20,100,94.83,76.2
PAQUILO_21195170,30,2,29.75,31.6
PAQUILO_21195170,30,5,36.73,39.4
PAQUILO_21195170,30,10,43.08,44.6
PAQUILO_21195170,30,25,53.18,51.2
PAQUILO_21195170,30,50,62.37,56.0
PAQUILO_21195170,30,100,73.15,60.8
PAQUILO_21195170,60,2,19.09,20.4
PAQUILO_21195170,60,5,23.57,26.0
PAQUILO_21195170,60,10,27.64,29.7
PAQUILO_21195170,60,25,34.13,34.4
PAQUILO_21195170,60,50,40.03,37.9
PAQUILO_21195170,60,100,46.94,41.3
PAQUILO_21195170,120,2,12.25,12.3
PAQUILO_21195170,120,5,15.12,15.4
PAQUILO_21195170,120,10,17.74,17.4
PAQUILO_21195170,120,25,21.9,19.9
PAQUILO_21195170,120,50,25.68,21.8
PAQUILO_21195170,120,100,30.12,23.7
PAQUILO_21195170,180,2,9.45,8.8
PAQUILO_21195170,180,5,11.67,11.0
PAQUILO_21195170,180,10,13.68,12.4
PAQUILO_21195170,180,25,16.89,14.3
PAQUILO_21195170,180,50,19.81,15.6
PAQUILO_21195170,180,100,23.24,17.0
PAQUILO_21195170,360,2,6.06,4.9
PAQUILO_21195170,360,5,7.49,6.2
PAQUILO_21195170,360,10,8.78,7.0
PAQUILO_21195170,360,25,10.84,8.0
PAQUILO_21195170,360,50,12.72,8.8
PAQUILO_21195170,360,100,14.91,9.5
VILLETA_23065180,10,2,99.49,117.6
VILLETA_23065180,10,5,122.83,153.6
VILLETA_23065180,10,10,144.06,168.0
VILLETA_23065180,10,25,177.85,179.4
VILLETA_23065180,10,50,208.59,184.8
VILLETA_23065180,10,100,244.65,188.4
VILLETA_23065180,20,2,70.74,72.0
VILLETA_23065180,20,5,87.34,97.2
VILLETA_23065180,20,10,102.44,113.7
VILLETA_23065180,20,25,126.47,135.0
VILLETA_23065180,20,50,148.33,150.6
VILLETA_23065180,20,100,173.96,165.9
VILLETA_23065180,30,2,57.77,62.6
VILLETA_23065180,30,5,71.33,85.2
VILLETA_23065180,30,10,83.65,100.2
VILLETA_23065180,30,25,103.28,119.2
VILLETA_23065180,30,50,121.13,133.2
VILLETA_23065180,30,100,142.07,147.2
VILLETA_23065180,60,2,40.74,49.9
VILLETA_23065180,60,5,50.3,64.5
VILLETA_23065180,60,10,59.0,66.8
VILLETA_23065180,60,25,72.84,67.2
VILLETA_23065180,60,50,85.43,67.3
VILLETA_23065180,60,100,100.19,67.9
VILLETA_23065180,120,2,28.67,27.6
VILLETA_23065180,120,5,35.4,36.4
VILLETA_23065180,120,10,41.52,38.0
VILLETA_23065180,120,25,51.26,38.2
VILLETA_23065180,120,50,60.12,38.3
VILLETA_23065180,120,100,70.51,38.5
VILLETA_23065180,180,2,23.33,19.3
VILLETA_23065180,180,5,28.81,26.0
VILLETA_23065180,180,10,33.79,27.3
VILLETA_23065180,180,25,41.71,27.6
VILLETA_23065180,180,50,48.92,27.6
VILLETA_23065180,180,100,57.38,27.7
VILLETA_23065180,360,2,16.4,10.4
VILLETA_23065180,360,5,20.24,14.4
VILLETA_23065180,360,10,23.74,15.2
VILLETA_23065180,360,25,29.31,15.5
VILLETA_23065180,360,50,34.38,15.5
VILLETA_23065180,360,100,40.32,15.5
PARAMO_GUERRERO_21206930,10,2,23.56,55.2
PARAMO_GUERRERO_21206930,10,5,33.38,67.8
PARAMO_GUERRERO_21206930,10,10,43.44,76.2
PARAMO_GUERRERO_21206930,10,25,61.53,87.0
PARAMO_GUERRERO_21206930,10,50,80.07,95.4
PARAMO_GUERRERO_21206930,10,100,104.2,103.2
PARAMO_GUERRERO_21206930,20,2,19.81,43.2
PARAMO_GUERRERO_21206930,20,5,28.07,53.1
PARAMO_GUERRERO_21206930,20,10,36.53,59.4
PARAMO_GUERRERO_21206930,20,25,51.74,67.8
PARAMO_GUERRERO_21206930,20,50,67.33,73.8
PARAMO_GUERRERO_21206930,20,100,87.62,79.8
PARAMO_GUERRERO_21206930,30,2,17.9,35.6
PARAMO_GUERRERO_21206930,30,5,25.36,43.6
PARAMO_GUERRERO_21206930,30,10,33.0,48.8
PARAMO_GUERRERO_21206930,30,25,46.75,55.4
PARAMO_GUERRERO_21206930,30,50,60.84,60.4
PARAMO_GUERRERO_21206930,30,100,79.17,65.2
PARAMO_GUERRERO_21206930,60,2,15.06,23.0
PARAMO_GUERRERO_21206930,60,5,21.33,28.4
PARAMO_GUERRERO_21206930,60,10,27.75,32.0
PARAMO_GUERRERO_21206930,60,25,39.31,36.6
