estacion,duracion_min,Tr_anios,I_oficial_mmh,I_plataforma_mmh
CAMILO_DAZA_16015501,10,2,113.5,101.4
CAMILO_DAZA_16015501,10,5,144.03,148.8
CAMILO_DAZA_16015501,10,10,172.47,180.0
CAMILO_DAZA_16015501,10,25,218.87,219.6
CAMILO_DAZA_16015501,10,50,262.09,249.0
CAMILO_DAZA_16015501,10,100,313.85,278.4
CAMILO_DAZA_16015501,20,2,69.38,75.0
CAMILO_DAZA_16015501,20,5,88.05,105.3
CAMILO_DAZA_16015501,20,10,105.44,125.4
CAMILO_DAZA_16015501,20,25,133.8,150.6
CAMILO_DAZA_16015501,20,50,160.22,169.5
CAMILO_DAZA_16015501,20,100,191.86,188.1
CAMILO_DAZA_16015501,30,2,52.03,60.4
CAMILO_DAZA_16015501,30,5,66.02,79.6
CAMILO_DAZA_16015501,30,10,79.06,92.4
CAMILO_DAZA_16015501,30,25,100.33,108.4
CAMILO_DAZA_16015501,30,50,120.14,120.4
CAMILO_DAZA_16015501,30,100,143.87,132.2
CAMILO_DAZA_16015501,60,2,31.81,40.1
CAMILO_DAZA_16015501,60,5,40.36,48.0
CAMILO_DAZA_16015501,60,10,48.33,51.6
CAMILO_DAZA_16015501,60,25,61.33,54.9
CAMILO_DAZA_16015501,60,50,73.44,56.8
CAMILO_DAZA_16015501,60,100,87.95,58.3
CAMILO_DAZA_16015501,120,2,19.44,24.5
CAMILO_DAZA_16015501,120,5,24.67,26.3
CAMILO_DAZA_16015501,120,10,29.55,26.8
CAMILO_DAZA_16015501,120,25,37.49,27.0
CAMILO_DAZA_16015501,120,50,44.9,27.1
CAMILO_DAZA_16015501,120,100,53.76,27.1
CAMILO_DAZA_16015501,180,2,14.58,17.2
CAMILO_DAZA_16015501,180,5,18.5,18.7
CAMILO_DAZA_16015501,180,10,22.16,19.3
CAMILO_DAZA_16015501,180,25,28.11,19.7
CAMILO_DAZA_16015501,180,50,33.67,19.8
CAMILO_DAZA_16015501,180,100,40.32,19.9
CAMILO_DAZA_16015501,360,2,8.91,9.1
CAMILO_DAZA_16015501,360,5,11.31,10.0
CAMILO_DAZA_16015501,360,10,13.54,10.7
CAMILO_DAZA_16015501,360,25,17.19,11.5
CAMILO_DAZA_16015501,360,50,20.58,12.0
CAMILO_DAZA_16015501,360,100,24.65,12.6
CAMILO_DAZA_16015501,1440,2,3.33,2.8
CAMILO_DAZA_16015501,1440,5,4.23,3.4
CAMILO_DAZA_16015501,1440,10,5.06,3.9
CAMILO_DAZA_16015501,1440,25,6.42,4.4
CAMILO_DAZA_16015501,1440,50,7.69,4.8
CAMILO_DAZA_16015501,1440,100,9.21,5.2
PALONEGRO_23195502,10,2,56.49,94.2
PALONEGRO_23195502,10,5,68.47,197.4
PALONEGRO_23195502,10,10,79.2,267.6
PALONEGRO_23195502,10,25,96.01,349.2
PALONEGRO_23195502,10,50,111.05,403.8
PALONEGRO_23195502,10,100,128.45,451.8
PALONEGRO_23195502,20,2,46.2,71.7
PALONEGRO_23195502,20,5,56.0,126.3
PALONEGRO_23195502,20,10,64.78,162.3
PALONEGRO_23195502,20,25,78.52,208.2
PALONEGRO_23195502,20,50,90.83,242.1
PALONEGRO_23195502,20,100,105.06,275.7
PALONEGRO_23195502,30,2,41.08,56.2
PALONEGRO_23195502,30,5,49.79,100.0
PALONEGRO_23195502,30,10,57.59,129.2
PALONEGRO_23195502,30,25,69.81,165.8
PALONEGRO_23195502,30,50,80.75,193.2
PALONEGRO_23195502,30,100,93.4,220.2
PALONEGRO_23195502,60,2,33.6,37.4
PALONEGRO_23195502,60,5,40.72,68.7
PALONEGRO_23195502,60,10,47.1,89.5
PALONEGRO_23195502,60,25,57.1,115.7
PALONEGRO_23195502,60,50,66.05,135.2
PALONEGRO_23195502,60,100,76.39,154.5
PALONEGRO_23195502,120,2,27.48,23.6
PALONEGRO_23195502,120,5,33.31,44.0
PALONEGRO_23195502,120,10,38.53,57.4
PALONEGRO_23195502,120,25,46.7,74.3
PALONEGRO_23195502,120,50,54.02,87.0
PALONEGRO_23195502,120,100,62.48,99.5
PALONEGRO_23195502,180,2,24.43,15.6
PALONEGRO_23195502,180,5,29.61,36.2
PALONEGRO_23195502,180,10,34.25,49.7
PALONEGRO_23195502,180,25,41.52,64.4
PALONEGRO_23195502,180,50,48.03,73.3
PALONEGRO_23195502,180,100,55.55,80.5
PALONEGRO_23195502,360,2,19.98,8.4
PALONEGRO_23195502,360,5,24.22,22.1
PALONEGRO_23195502,360,10,28.02,32.6
PALONEGRO_23195502,360,25,33.96,45.9
PALONEGRO_23195502,360,50,39.28,55.1
PALONEGRO_23195502,360,100,45.44,63.5
PALONEGRO_23195502,1440,2,13.37,2.4
PALONEGRO_23195502,1440,5,16.2,7.5
PALONEGRO_23195502,1440,10,18.74,12.5
PALONEGRO_23195502,1440,25,22.72,20.3
PALONEGRO_23195502,1440,50,26.28,26.9
PALONEGRO_23195502,1440,100,30.4,34.0
